Segment 0,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47
2956.088877,-585.7339428,-610.7608083,-198.1977514,-274.3817161,671.7724572,-205.5480396,-395.179452,-393.0378332,674.9050356,-462.062723,-236.341206,901.6412692,-862.9867412,297.3037421,636.1790536,1102.841592,569.1289658,-553.728084,404.6450389,-749.8507084,-236.4756574,738.7455681,-493.0509876,-720.8858492,660.6590885,-937.2592956,-186.4921409,1116.592913,-373.8004125,280.427073,-743.2311179,1040.282119,-455.6236785,-52.28495799,429.4135842,-852.8542394,-171.0710869,-280.9592419,-318.9665051,-416.254303,633.643539,-72.4286707,28.52694908,-296.1199674,-238.5814094,-159.4444652,-302.6502613
3045.093529,-612.714122,-608.012591,-104.9868489,-271.2166676,580.2756383,-117.6583721,-421.7691312,-426.3114736,737.9372422,-468.0105481,-233.0013914,797.3648767,-866.2662802,389.642975,640.7276438,1136.893018,652.2882578,-575.1789776,311.4815509,-772.4614071,-239.7089505,653.3247988,-402.0347558,-758.1020054,570.3800534,-932.5573796,-233.1257604,1104.003725,-401.1103357,178.2768818,-736.7680552,949.8359643,-464.5008087,-51.06841319,444.3643096,-852.7123646,-184.0574229,-282.5188355,-301.0451724,-443.3734415,540.6208994,27.71489413,150.7090906,-307.3549824,-253.8450299,-157.6194749,-298.832453
3092.905689,-636.3487268,-604.7734832,-3.583153977,-271.960986,484.6640435,-24.60091408,-449.6165886,-452.8296287,789.2977235,-467.0083474,-228.3317828,692.1666786,-869.9234659,474.3343972,635.0542125,1157.361245,728.5707161,-591.6246681,221.4422624,-790.2434689,-239.7794734,566.6727093,-301.2419892,-794.1247592,478.3045636,-918.8988849,-273.1782057,1078.636292,-426.8165219,78.03462488,-721.4030089,854.8761468,-474.5389268,-49.73856479,460.061223,-849.8940711,-199.3537227,-286.5082966,-284.3968546,-463.9525177,444.9564108,132.5423866,273.0304975,-314.7899653,-271.0000258,-156.2771298,-295.2128373
3101.891029,-655.4350368,-601.1511354,104.5795176,-276.8390206,386.6730073,72.16223389,-477.8172129,-472.972707,828.0983701,-458.3111408,-223.1515431,587.7109612,-873.9636499,549.811359,619.3071438,1164.059874,796.5692726,-601.8772859,135.8197746,-802.0508735,-237.5524679,480.2245461,-191.8447851,-827.5936879,386.0520653,-895.5034786,-306.6812934,1041.208181,-449.7284527,-18.77806076,-696.4569362,757.1737947,-485.5271783,-48.29203522,476.2926364,-845.2212338,-216.7410552,-293.1369431,-269.74724,-478.5502949,348.277674,240.4331518,393.4844709,-319.0681181,-289.9828506,-155.7655201,-292.2334613
3075.212101,-668.7785321,-597.285334,217.8494159,-285.9014203,287.9885582,171.0318675,-505.3538461,-487.2597229,853.7185839,-441.309111,-218.2415632,485.5473471,-878.3764421,614.6955491,593.8329805,1157.078086,855.0469832,-604.8045253,55.73336311,-806.7885907,-233.8953141,395.3253333,-75.28698741,-857.0884435,295.15135,-861.7759293,-333.8136265,992.663077,-468.6115068,-110.8058136,-661.4434066,658.4583904,-497.2453168,-46.731003,492.8388738,-839.5000724,-235.9139925,-302.5346352,-257.7398497,-487.8202145,252.146147,349.6396224,510.0493936,-320.835506,-310.7032441,-156.3643495,-290.2751151
3016.676788,-675.2282086,-593.3462577,334.3946161,-299.0191329,190.2102423,270.3118001,-531.119218,-496.3270612,865.8176495,-415.5543082,-214.3253599,387.0816099,-883.1358887,667.8310406,559.1626167,1136.770073,902.9670988,-599.3663221,-17.88705205,-803.4478054,-229.6557581,313.2038071,46.7459904,-881.1652433,207.0092949,-817.3356862,-354.8887478,934.1418265,-482.2196488,-196.8829465,-616.0950183,560.3790692,-509.4705549,-45.0627585,509.476266,-833.496934,-256.478928,-314.7471409,-248.9259649,-492.4843568,158.0237822,458.3297187,620.7409003,-320.7253191,-333.0394529,-158.2896747,-289.6574091
2930.577588,-673.713466,-589.5311663,452.247289,-315.8810733,94.8180522,368.2524797,-553.9424616,-500.9056806,864.339054,-380.7841962,-212.0512055,293.5515276,-888.2009173,708.3116951,515.9937309,1103.73766,939.51695,-584.6516717,-84.31153788,-791.1414389,-225.6410611,234.9505772,172.3660048,-898.3970273,122.8842896,-762.0417205,-370.3409639,866.9492577,-489.3311426,-276.0508579,-560.3847071,464.4700579,-521.9836162,-43.29906665,525.9808908,-827.9136095,-277.9539816,-329.7317789,-243.7554202,-493.3074996,67.2439565,564.6323757,723.6635746,-319.3446777,-356.8318716,-161.7005914,-290.6406147
2821.528374,-663.2814615,-586.0594077,569.3530332,-335.9957822,3.144190269,463.0965716,-572.6193311,-501.7973933,849.5068326,-336.9409636,-211.9757294,206.0081157,-893.516079,735.501214,465.1700408,1058.80699,964.1251031,-559.9143406,-143.0154407,-769.1387512,-222.5983433,161.5008017,299.5284292,-907.4162605,43.86477408,-696.0113635,-380.7092739,792.5178575,-488.7864057,-347.5693251,-494.540782,372.1209925,-534.5739275,-41.45540221,542.1320089,-823.3629307,-299.7709345,-347.3535147,-242.568161,-491.0721137,-19.01268103,666.6846708,817.0604296,-317.2641167,-381.8755195,-166.7072296,-293.4288068
2694.304671,-643.1336663,-583.1656825,683.6236001,-358.6973814,-83.64978325,553.1249307,-585.9455643,-499.8508055,821.8142819,-284.1856069,-214.5492363,125.3024036,-899.0126188,749.0454043,407.6579964,1003.000274,976.4714925,-524.6061153,-193.679541,-736.8977061,-221.1963732,93.62153244,426.0842295,-906.9591316,-29.14684978,-619.6320368,-386.6198374,712.3694599,-479.5269269,-410.921735,-419.0546972,284.5526361,-547.0439334,-39.55012961,557.7151489,-820.3454776,-321.2796222,-367.3817716,-245.5865325,-486.5550398,-99.73700933,762.6789999,899.3585244,-315.0097448,-407.9118872,-173.3793996,-298.1738156
2553.692706,-612.6602553,-581.091573,792.9911935,-383.1560812,-164.590063,636.7014169,-592.7526406,-495.9374407,782.0056283,-222.9059314,-220.1029833,52.07775051,-904.609912,748.8764992,344.5215595,937.503729,976.4904709,-478.4061879,-236.1853981,-694.0937368,-222.0090281,31.90376025,549.8360531,-895.9097265,-95.44483988,-533.5650102,-388.7674139,628.0760989,-460.6340057,-465.8144737,-334.6808225,202.7983108,-559.2125452,-37.60369611,572.5247985,-819.2282794,-341.7551626,-389.4882967,-252.9083502,-480.5064653,-174.1046342,850.908776,969.2092346,-313.0579454,-434.62079,-181.7552433,-304.9794964
2404.351632,-571.4709074,-580.0754154,895.462466,-408.3934236,-238.9018134,712.3150977,-591.9450062,-490.9284904,731.0514431,-153.7178154,-228.8386646,-13.23246285,-910.2172984,735.2096362,276.895719,863.632887,964.3669382,-421.2453018,-270.6063188,-640.6435731,-225.5006461,-23.24092885,668.5963724,-873.3426152,-154.5253314,-438.7406209,-387.8961788,541.221162,-431.3659375,-512.170853,-242.427788,127.6911546,-570.9177707,-35.63789438,586.3666596,-820.2264063,-360.4083159,-413.2464687,-264.5008975,-473.6316837,-241.4834336,929.8112047,1025.521912,-311.8323682,-461.6129388,-191.8492744,-313.9058441
2250.692368,-519.4206078,-580.3406725,989.1703638,-433.3023391,-306.0145199,778.618525,-582.5376695,-485.6725554,670.1187682,-77.45933609,-240.8203548,-70.40206677,-915.7363396,708.5318383,205.9593854,782.7964762,940.5259147,-353.3233884,-297.194475,-576.7228837,-232.013476,-71.57928734,780.2456821,-838.5622238,-206.0863615,-336.3447397,-384.7802961,453.3619185,-391.1921924,-550.1200885,-143.5413319,59.85713621,-582.0185856,-33.67523023,599.0594444,-823.3883273,-376.3991652,-438.1324657,-280.1960836,-466.5759708,-301.4355831,998.0058224,1067.489928,-311.7028745,-488.423981,-203.6592504,-324.9725251
2096.775501,-456.6291415,-582.0830526,1072.422083,-456.6719594,-365.5616886,834.4609439,-563.6929263,-480.9746603,600.53704,4.822352391,-255.9691671,-119.4046786,-921.0635066,669.5840668,132.9082849,696.4600337,905.6161043,-275.1196161,-316.3647593,-502.7766594,-241.7574373,-113.0512262,882.7887995,-791.1373502,-250.0230429,-227.7966312,-380.2045847,365.9944113,-339.8231183,-579.98195,-39.47896226,-0.286399229,-592.396123,-31.73840768,610.4362203,-828.58585,-388.8541619,-463.528701,-299.6870796,-459.912763,-353.7143731,1054.327664,1094.608388,-312.9860271,-514.5107676,-217.1713914,-338.1614703
1946.229754,-383.493136,-585.4567035,1143.741585,-477.216969,-417.375263,878.9154924,-534.7548737,-477.5767501,523.7609844,91.89119226,-274.0608786,-160.4021297,-926.0932858,619.3371089,58.92845111,606.1103551,860.4881534,-187.394029,-328.6760108,-419.521507,-254.8023994,-147.7609013,974.4074459,-730.9292547,-286.4183386,-114.7187308,-374.9455838,280.5215795,-277.2337573,-602.2477862,68.12287598,-52.52701457,-601.9542551,-29.84992162,620.3453554,-835.5093662,-396.8864178,-488.7299053,-322.526821,-454.1351791,-398.2562832,1097.854149,1106.683103,-315.9466787,-539.2505596,-232.3635617,-353.4182581
1802.191626,-300.6897656,-590.5599025,1201.90537,-493.6110924,-461.4752524,911.2996754,-495.2803209,-476.1398115,441.3316896,182.3489388,-294.7267706,-193.729312,-930.7216681,558.9622205,-14.82912188,513.2217617,806.1684319,-91.18027158,-334.8102547,-327.9393339,-271.073191,-175.9645119,1053.507474,-658.1119093,-315.5299776,1.100786868,-369.7532809,198.2253355,-203.6805017,-617.5586673,177.4880911,-96.84877008,-610.6196366,-28.03173131,628.6511643,-843.6689972,-399.6189421,-512.9521663,-348.1288088,-449.6507989,-435.1689093,1127.925015,1103.830701,-320.8001951,-561.9438067,-249.2061386,-370.6521279
1667.265952,-209.1715466,-597.4207445,1245.970483,-504.5241185,-498.0551693,931.1886395,-445.0647262,-477.2277191,354.8370592,274.6676307,-317.4579091,-219.8760446,-934.8499661,489.7975682,-87.2721402,419.225022,743.829258,12.23075168,-335.550586,-229.2622621,-290.3475501,-198.0553048,1118.759334,-573.1832226,-337.7741052,117.751455,-365.3337391,120.2431557,-119.709534,-626.681394,286.745353,-133.4196801,-618.34127,-26.30497844,635.2343832,-852.4020748,-396.210322,-535.3451496,-375.7706654,-446.7794989,-464.7154317,1144.154902,1086.470088,-327.71486,-581.8210005,-267.6604305,-389.7345815
1543.506468,-110.1520214,-605.9834051,1275.294072,-508.6616508,-527.4639425,938.4210346,-384.1618841,-481.2928763,265.8728021,367.2267796,-341.6130524,-239.4665727,-938.3888773,413.311588,-157.3885065,325.4795926,674.7565403,121.3160581,-331.7582871,-124.9489939,-312.2572143,-214.5463039,1169.130634,-476.9663698,-353.7062957,233.2485131,-362.332831,47.54956742,-26.15628538,-630.4830971,393.9760568,-162.5756661,-625.0896394,-24.68971129,639.9926149,-860.887199,-385.8821539,-555.0076077,-404.6008976,-445.7540621,-487.2963776,1146.438414,1055.30572,-336.814043,-598.053945,-287.674648,-410.4966649
1432.414838,-5.082524601,-616.0956179,1289.544111,-504.806567,-550.1850242,933.097502,-312.8962684,-488.6637109,176.0050316,458.3540596,-366.4303165,-253.2372947,-941.2626914,331.0644133,-224.265234,233.2496521,600.315829,234.3540064,-324.3497056,-16.6532339,-336.2923417,-226.0512952,1203.909932,-370.6007255,-364.0005537,345.5838001,-361.3212635,-19.05726838,75.8644998,-629.9050985,497.2641398,-184.8016778,-630.8554595,-23.20458163,642.8408691,-868.1648949,-367.9473476,-571.0061479,-433.6492783,-446.7232141,-503.4294543,1134.947768,1011.303423,-348.1777622,-609.7715886,-309.177591,-432.7251466
1334.956203,104.3793783,-627.4980408,1288.701263,-491.8609756,-566.8134337,915.5720744,-231.8672023,-499.534104,86.73543513,546.3681509,-391.0426431,-262.0132919,-943.4135133,244.6685122,-287.1044282,143.684209,521.9177565,349.4649846,-314.2733418,93.81487572,-361.8094223,-233.2645841,1222.721216,-255.5223142,-369.4269095,452.777772,-362.7810647,-78.9638559,184.9781071,-625.9366299,594.7459938,-200.7106778,-635.64808,-21.86649165,643.7122791,-873.1646424,-341.8382722,-582.397077,-461.8411883,-449.7567,-513.7282325,1110.123327,955.6597292,-361.8433497,-616.0803382,-332.0703732,-456.1579348
1251.588925,216.4088189,-639.8162053,1273.052126,-468.8872913,-578.0314846,886.4369935,-141.9443637,-513.9548515,-0.530171513,629.6223312,-414.4970178,-266.6841867,-944.8053569,155.7496267,-345.2360641,57.8013765,440.9838083,464.6580639,-302.4875118,204.5330467,-388.0428023,-236.9400159,1225.528835,-133.4341314,-370.8281772,552.9308489,-367.0936897,-131.7446842,299.5782009,-619.5889249,684.6587547,-211.0211766,-639.4935912,-20.69018104,642.5590208,-874.7377905,-307.1336028,-588.2509729,-488.0161513,-454.8519947,-518.8804222,1072.657507,889.7658583,-377.8050142,-616.0885369,-356.2166541,-480.4791777
1182.306048,329.0586386,-652.5557231,1243.174395,-435.1469345,-584.583926,846.5016394,-44.25451084,-531.8273055,-84.5092504,706.5473936,-435.7772636,-268.1798048,-945.4279458,65.90903065,-398.1273746,-23.52326686,358.9133085,577.8820426,-289.9388638,313.5153758,-414.119882,-237.8697136,1212.632969,-6.267130301,-369.096394,644.2723533,-374.5299006,-177.1608478,417.8633684,-611.8701062,765.3853622,-216.5339818,-642.4326824,-19.68775918,639.3533952,-871.6955976,-263.5826666,-587.6794655,-510.9506508,-461.9422378,-519.6264285,1023.472724,815.1676553,-396.0121991,-608.9345354,-381.4319885,-505.3145763
1126.685876,440.3089546,-665.1013876,1199.914706,-390.1351054,-587.253193,796.7664176,59.84029842,-552.8993858,-164.0654292,775.6925079,-453.8301023,-267.4460567,-945.3000504,-23.3119724,-445.388755,-99.56445243,277.05243,687.0791046,-277.5419468,418.7634772,-439.079963,-236.8629356,1184.65602,123.8669131,-365.1494011,725.2054355,-385.2415793,-215.1543579,537.8806749,-603.7612046,835.4949679,-218.1087681,-644.5183151,-18.86820125,634.088971,-862.8513706,-211.1260889,-579.8635411,-529.3851369,-470.9049959,-516.7387952,963.6941343,733.5228483,-416.3667502,-593.8175412,-407.4730016,-530.2274954
1083.949085,548.1195825,-676.7207218,1144.360116,-333.6101078,-586.8354109,738.3925618,168.7723594,-576.764204,-238.2265616,835.7627149,-467.5940293,-265.4213913,-944.4721851,-110.4645035,-486.7761849,-169.7514639,196.6659429,790.2392065,-266.1599655,518.3185048,-461.8966176,-234.7254046,1142.520578,254.7290786,-359.9079707,794.3465763,-399.2556362,-245.8386146,657.5747378,-596.1935608,893.7774985,-216.6410027,-645.8132814,-18.23683909,626.7816411,-847.0654247,-149.911611,-564.0825274,-542.0549229,-481.5714792,-511.0030459,894.6180639,646.5570572,-438.7190276,-570.0301982,-434.0271769,-554.7164854
1053.019891,650.4835335,-686.5724153,1077.804334,-265.6158037,-584.1177349,672.668887,280.8048938,-602.8615876,-306.1978127,885.6518712,-476.0303887,-263.0141209,-943.0284843,-194.2208335,-522.1902603,-233.6692379,118.9123106,885.453289,-256.5868051,610.312346,-481.5033283,-232.2394025,1087.419869,384.0116578,-354.2738218,850.5585078,-416.4701856,-269.4855649,774.8405952,-590.0277985,939.2714456,-213.0396701,-646.3877281,-17.79488661,617.4704216,-823.2913604,-80.30408241,-539.7427787,-547.7244385,-493.7358771,-503.2003242,817.6770794,556.0199574,-462.8632231,-536.9916448,-460.7040711,-578.2148231
1032.588962,745.4798012,-693.7199337,1001.709918,-186.4959731,-579.8575333,600.9765664,394.0743306,-630.4828221,-367.3697685,924.4700188,-478.1558824,-261.0808627,-941.0875786,-273.3988355,-551.6720091,-291.0567306,44.82261415,970.9634798,-249.530385,693.0163179,-496.821999,-230.1448771,1020.781771,509.3991238,-349.1088127,892.9756738,-436.6531629,-286.5101019,887.5785113,-586.0345029,971.2842307,-208.2061381,-646.3167255,-17.53904242,606.2178322,-790.6219711,-2.888835156,-506.4049699,-545.2240665,-507.1645182,-494.0921148,734.4027334,463.6429374,-488.532257,-494.2796361,-487.0287666,-600.0926377
1021.176004,831.3237134,-697.1503943,917.667728,-96.89962299,-574.7638399,524.7530152,506.6368851,-658.7789376,-421.3216998,951.5643621,-473.0755979,-260.4063093,-938.8022898,-346.9817701,-575.395733,-341.802925,-24.71634177,1045.20861,-245.5973942,764.8857996,-506.7937887,-229.1217623,944.227646,628.6295599,-345.2155459,921.0216533,-459.4435586,-297.452271,993.7488207,-584.8767177,989.4047601,-203.0144062,-645.677963,-17.4612107,593.1097289,-748.3329662,81.53209355,-463.80884,-533.4885482,-521.6046123,-484.4072088,646.387071,371.0994672,-515.3927293,-441.6602165,-512.4383221,-619.6621083
1017.190241,906.4132351,-695.7985765,827.3549082,2.223373152,-569.481413,445.4559397,616.5179017,-686.7728454,-467.8202272,966.5332662,-460.0155133,-261.6845091,-936.3579721,-414.133154,-593.6591655,-385.9407818,-88.97452838,1106.863588,-245.2794745,824.599393,-510.4115511,-229.7736866,859.5273312,739.5544032,-343.319578,934.4182723,-484.3554362,-302.9578348,1091.424966,-587.0943607,993.5080525,-198.2928803,-644.5496383,-17.54837415,578.254526,-695.9226427,171.9511154,-411.8942087,-511.5957294,-536.7923762,-474.8309517,555.243996,279.9692355,-543.0404775,-379.1134023,-536.2818981,-636.1861095
1018.987314,969.3697762,-688.5756889,732.4926751,109.6365367,-564.5776489,364.5285554,721.7623551,-713.3755762,-506.8137341,969.2329469,-438.3533438,-265.5018265,-933.9693408,-474.2066101,-606.8712691,-423.6393321,-147.3867198,1154.87146,-248.9409493,871.0914117,-506.7530109,-232.6132242,768.5516953,840.1944732,-344.0533939,933.1864178,-510.7848892,-303.7577285,1178.843016,-593.0906721,983.7520652,-194.8077366,-643.008597,-17.78264302,561.7818087,-633.1456655,267.1735079,-350.8171416,-478.8042348,-552.4604057,-465.9966993,462.5715772,191.7069103,-570.9973375,-306.8534003,-557.8251119,-648.8905271
1024.921434,1019.072266,-674.4022545,634.805076,223.8407623,-560.5325069,283.3668926,820.4849019,-737.4067795,-538.4229523,959.7767858,-407.6465421,-272.3217526,-931.8756556,-526.7507333,-615.5380107,-455.1940115,-199.5561036,1188.467296,-256.8082384,903.5767604,-495.0136672,-238.0488418,673.2241733,928.7904528,-347.9422815,917.6388407,-538.0200564,-300.6468931,1254.446145,-603.1208251,960.5670807,-193.2478718,-641.1287586,-18.14149146,543.8404112,-560.039246,365.8426339,-280.9602595,-434.5885386,-568.344196,-458.4792989,369.9163127,107.6161621,-598.7097201,-225.342051,-576.2590204,-656.9803002
1033.391984,1054.683513,-652.2442181,535.9797856,343.1074029,-557.7315179,203.2899973,910.9179088,-757.6195169,-562.928208,938.5274684,-367.6562676,-282.4717487,-930.3341624,-571.5091305,-620.2464598,-481.0152685,-245.2536532,1207.193372,-268.9611494,921.5675494,-474.5383088,-246.3736976,575.4726728,1003.846261,-355.3922313,888.3654782,-565.2542751,-294.46293,1316.922777,-617.2828626,924.6382267,-194.2114024,-638.9798459,-18.59817818,524.5960897,-476.9402426,466.4711789,-202.9363785,-378.6698482,-584.1877694,-452.7903227,278.7402702,28.82935096,-625.5495895,-135.2944336,-590.7139442,-659.6590387
1042.884034,1075.668155,-621.1511346,437.631865,465.5194463,-556.4618706,125.513699,991.4559726,-772.7292207,-580.7538524,906.0823854,-318.3662014,-296.1323357,-929.6117469,-608.4159033,-621.6475518,-501.6154687,-284.4135485,1210.905437,-285.3262884,924.8811038,-444.8499598,-257.7564615,477.1831793,1064.164083,-366.6799808,846.2120443,-591.6023801,-286.0649654,1365.237359,-635.5111511,876.8818904,-198.1936593,-636.6264153,-19.12233419,504.2289431,-384.4920364,567.477335,-117.5849249,-311.041254,-599.7484029,-449.3747119,190.3918861,-43.70694316,-650.818381,-37.67590317,-600.2781341,-656.1518619
1052.00255,1081.801822,-580.2950877,341.271248,589.0194061,-556.911499,51.12846028,1060.695585,-781.4464909,-592.4504208,863.2529573,-259.9952133,-313.3286742,-929.9748193,-637.5869354,-620.4378514,-517.5941555,-317.1250208,1199.770183,-305.6728819,913.6393318,-405.6750635,-272.234338,380.1562879,1108.870162,-381.9453196,792.2528181,-616.1200782,-276.3130528,1398.652996,-657.5725849,818.416943,-205.5766417,-634.1271701,-19.68068689,482.9307376,-283.6404613,667.2246377,-25.96086868,-231.9857221,-614.8004832,-448.6084452,106.0810511,-109.240581,-673.7542998,66.30978892,-604.0210512,-645.7308798
1059.5003,1073.171424,-529.0088206,248.2745704,711.4622603,-559.1710313,-18.91834464,1117.468781,-782.5131889,-598.6750648,811.038727,-193.0030891,-333.9249201,-931.6775228,-659.3074256,-617.3406436,-529.6217854,-343.6210614,1174.254284,-329.6113412,888.2597168,-356.963754,-289.708491,286.0677502,1137.430847,-401.1857709,727.7586952,-637.8262207,-266.0483849,1416.745452,-683.0658003,750.5318065,-216.6199271,-631.534524,-20.2378794,460.9022528,-175.6185543,764.0640084,70.68375236,-142.0857279,-629.1385392,-450.7968308,26.85893457,-167.2169389,-693.5433248,175.2412271,-601.0207855,-627.7425275
