Segment 0,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58
2280,2409,1718,2730,1943,1285,1927,1365,996,1783,1558,1622,3003,1702,1012,1510,3388,867,2457,947,2505,2136,1847,1301,915,1654,1028,1253,1237,1702,2088,2746,2746,1012,1461,980,2329,1863,1269,1590,2746,2569,2602,2280,1766,2393,1301,2312,2248,1895,1237,2698,691,2537,980,1172,1204,1060,1381
2248,2377,1799,2682,2023,1269,1911,1349,1028,1750,1542,1606,3035,1670,1012,1493,3340,867,2521,947,2489,2120,1815,1285,915,1638,1028,1220,1237,1686,2072,2714,2826,1012,1574,980,2329,1959,1285,1526,2842,2537,2553,2248,1799,2377,1301,2296,2200,1927,1317,2618,691,2489,980,1172,1188,1140,1493
2216,2345,1863,2650,2104,1269,1879,1349,1076,1734,1526,1590,3067,1638,1012,1477,3292,867,2585,947,2473,2088,1783,1269,931,1622,1012,1204,1237,1670,2039,2682,2923,1012,1686,980,2312,2072,1285,1477,2923,2489,2505,2200,1815,2361,1285,2296,2104,1959,1397,2553,691,2457,964,1156,1172,1220,1606
2184,2312,1943,2602,2184,1253,1847,1333,1156,1702,1526,1574,3067,1622,996,1461,3244,867,2650,947,2441,2072,1750,1253,931,1606,1012,1204,1220,1638,2023,2634,3003,1012,1799,980,2296,2168,1301,1413,3003,2457,2457,2168,1815,2361,1285,2280,1975,1991,1477,2473,691,2425,964,1140,1172,1333,1734
2168,2296,2023,2553,2264,1237,1815,1333,1237,1686,1510,1574,3051,1590,996,1445,3180,883,2714,947,2425,2039,1734,1237,931,1590,1012,1188,1220,1606,1991,2585,3083,1012,1911,996,2264,2264,1301,1365,3083,2425,2409,2120,1831,2345,1269,2264,1879,2023,1574,2409,691,2409,964,1124,1156,1429,1847
2136,2264,2072,2505,2345,1237,1799,1317,1349,1670,1493,1558,3035,1574,996,1429,3131,899,2762,947,2393,2023,1702,1220,931,1574,996,1172,1220,1590,1959,2537,3148,1012,2007,996,2232,2361,1317,1317,3131,2377,2361,2088,1815,2345,1253,2264,1815,2039,1686,2345,707,2377,964,1108,1156,1542,1959
2104,2232,2136,2457,2409,1220,1766,1301,1477,1638,1477,1542,3019,1558,980,1413,3083,915,2794,964,2361,1991,1670,1220,931,1558,996,1172,1204,1558,1943,2489,3212,1012,2104,996,2200,2441,1317,1301,3180,2361,2312,2056,1815,2345,1253,2248,1750,2056,1783,2280,723,2345,964,1108,1140,1654,2072
2072,2200,2184,2409,2473,1220,1734,1285,1606,1622,1461,1526,2987,1526,980,1397,3019,964,2826,964,2329,1959,1638,1204,931,1558,996,1172,1204,1526,1911,2457,3260,1012,2200,996,2168,2521,1333,1285,3228,2345,2264,2023,1799,2329,1237,2248,1702,2072,1863,2216,755,2329,947,1092,1140,1750,2168
2039,2184,2248,2361,2537,1204,1702,1285,1718,1606,1461,1510,2939,1526,980,1381,2971,1012,2826,964,2312,1943,1638,1188,947,1542,996,1156,1204,1510,1895,2409,3292,996,2296,996,2136,2602,1333,1301,3244,2312,2216,1991,1766,2329,1220,2232,1654,2072,1959,2152,803,2296,947,1092,1124,1847,2264
2007,2152,2296,2312,2585,1204,1686,1269,1831,1590,1445,1493,2907,1510,964,1365,2923,1092,2826,964,2280,1911,1622,1188,980,1526,996,1156,1204,1477,1863,2361,3324,996,2393,1012,2104,2666,1333,1317,3244,2296,2168,1959,1750,2312,1204,2232,1606,2072,2039,2104,851,2280,931,1092,1124,1943,2361
1975,2136,2361,2264,2634,1188,1654,1269,1959,1558,1429,1477,2875,1510,964,1365,2875,1172,2826,980,2248,1879,1622,1172,1012,1510,996,1156,1188,1461,1847,2312,3324,996,2489,1028,2088,2698,1333,1349,3228,2296,2120,1943,1734,2296,1188,2216,1574,2072,2120,2072,931,2248,931,1108,1108,1975,2425
1959,2104,2393,2216,2666,1188,1638,1253,2088,1542,1413,1461,2842,1526,964,1349,2810,1285,2794,980,2232,1863,1606,1172,1060,1493,996,1156,1188,1445,1815,2280,3324,996,2585,1076,2072,2730,1333,1381,3212,2280,2088,1927,1718,2264,1172,2200,1526,2072,2200,2023,1012,2216,915,1140,1108,1959,2489
1927,2088,2441,2184,2682,1172,1606,1253,2216,1526,1397,1461,2794,1526,964,1349,2762,1397,2762,980,2200,1831,1590,1156,1124,1477,996,1156,1188,1413,1799,2232,3308,996,2666,1124,2056,2762,1349,1429,3196,2280,2039,1911,1686,2232,1172,2184,1493,2056,2264,1975,1108,2200,915,1188,1092,1975,2553
1895,2056,2473,2136,2698,1156,1590,1253,2345,1510,1397,1445,2762,1542,964,1333,2714,1526,2730,980,2184,1815,1574,1140,1204,1477,980,1156,1172,1397,1766,2184,3292,980,2746,1204,2039,2778,1349,1461,3148,2296,1991,1895,1670,2184,1156,2168,1461,2039,2329,1943,1204,2168,899,1220,1092,2007,2602
1879,2023,2489,2104,2698,1156,1574,1253,2457,1477,1381,1429,2730,1574,947,1317,2666,1654,2682,980,2152,1783,1558,1140,1285,1461,980,1156,1172,1381,1750,2152,3260,980,2826,1317,2039,2778,1349,1493,3115,2312,1943,1863,1654,2136,1156,2152,1429,2039,2377,1895,1301,2152,899,1301,1108,2023,2650
1847,2007,2505,2072,2698,1140,1558,1237,2569,1461,1381,1413,2698,1590,947,1317,2618,1750,2634,980,2136,1766,1542,1124,1365,1445,980,1156,1172,1365,1718,2120,3228,964,2891,1413,2023,2778,1365,1542,3067,2329,1895,1847,1638,2104,1140,2120,1413,2023,2425,1863,1397,2136,899,1381,1124,2039,2698
1815,1975,2505,2039,2682,1140,1526,1237,2682,1445,1365,1413,2666,1606,947,1301,2569,1879,2585,980,2104,1750,1526,1108,1445,1445,980,1156,1172,1349,1702,2056,3180,964,2939,1526,2023,2746,1381,1590,3019,2345,1847,1831,1622,2056,1140,2072,1397,2023,2473,1831,1493,2104,883,1477,1140,2072,2730
1783,1959,2505,1991,2666,1140,1510,1220,2794,1429,1365,1397,2634,1638,947,1301,2521,2007,2537,980,2088,1734,1510,1108,1542,1429,980,1156,1172,1333,1686,1991,3148,947,2987,1638,2007,2714,1397,1622,2971,2361,1815,1815,1606,2007,1140,2023,1381,2007,2505,1783,1590,2088,883,1606,1172,2088,2746
1750,1927,2489,1959,2650,1124,1493,1220,2891,1413,1349,1381,2602,1654,947,1285,2473,2136,2505,980,2072,1718,1510,1092,1638,1413,980,1156,1156,1317,1654,1943,3099,947,3003,1783,1991,2682,1429,1670,2923,2393,1783,1799,1606,1975,1140,1959,1381,2007,2537,1750,1686,2072,883,1718,1220,2088,2746
1718,1911,2457,1927,2618,1124,1461,1204,2987,1413,1349,1381,2569,1670,947,1285,2425,2248,2457,980,2039,1686,1493,1092,1734,1413,980,1172,1156,1301,1638,1911,3051,947,3019,1927,1991,2634,1461,1734,2875,2409,1734,1783,1590,1943,1124,1895,1381,2007,2553,1718,1750,2056,867,1847,1285,2088,2730
1702,1895,2441,1895,2569,1124,1445,1204,3067,1397,1333,1365,2537,1686,947,1269,2393,2377,2425,980,2023,1670,1477,1092,1831,1397,996,1172,1156,1285,1606,1863,3003,947,3019,2056,1975,2585,1477,1783,2842,2425,1702,1766,1574,1927,1124,1815,1365,2023,2553,1686,1815,2039,867,1959,1349,2072,2714
1670,1879,2409,1863,2537,1124,1429,1204,3131,1381,1333,1349,2505,1686,931,1269,2345,2489,2377,980,2007,1654,1477,1076,1911,1381,1012,1188,1156,1269,1590,1831,2955,931,3019,2200,1975,2537,1493,1847,2794,2441,1654,1750,1558,1911,1108,1734,1365,2023,2553,1654,1879,2023,851,2072,1429,2039,2682
1638,1847,2377,1831,2505,1124,1397,1188,3180,1365,1317,1349,2473,1686,931,1253,2312,2585,2345,980,1991,1638,1461,1060,2007,1381,1044,1204,1156,1269,1574,1815,2907,931,3019,2329,1959,2505,1526,1911,2746,2457,1622,1718,1542,1895,1092,1670,1365,2039,2537,1622,1943,2007,851,2184,1510,2007,2634
1622,1831,2345,1799,2457,1140,1381,1188,3212,1349,1317,1333,2457,1686,931,1253,2264,2698,2296,980,1959,1622,1461,1060,2088,1365,1092,1204,1140,1253,1526,1783,2858,947,2987,2457,1959,2473,1526,1991,2698,2473,1606,1702,1542,1879,1092,1606,1365,2056,2505,1606,2007,1991,835,2264,1590,1975,2585
1606,1815,2296,1766,2425,1156,1365,1188,3260,1333,1317,1333,2425,1670,947,1237,2232,2794,2264,980,1943,1606,1445,1044,2168,1365,1156,1220,1140,1237,1510,1750,2810,947,2955,2569,1959,2425,1542,2039,2634,2473,1574,1686,1526,1879,1076,1542,1365,2072,2473,1574,2072,1975,835,2345,1670,1927,2537
1574,1799,2264,1718,2393,1172,1349,1188,3276,1317,1317,1317,2393,1654,947,1237,2184,2875,2232,980,1927,1590,1445,1044,2232,1365,1237,1237,1140,1237,1493,1734,2762,964,2907,2698,1959,2393,1542,2088,2537,2489,1558,1670,1526,1863,1060,1493,1349,2088,2441,1542,2136,1959,819,2425,1750,1895,2473
1558,1783,2232,1686,2361,1204,1333,1188,3292,1317,1333,1317,2361,1638,947,1220,2152,2939,2200,980,1895,1558,1429,1028,2296,1365,1317,1237,1140,1237,1461,1702,2730,996,2858,2794,1959,2345,1558,2152,2457,2489,1558,1654,1510,1863,1060,1461,1349,2104,2393,1526,2184,1943,819,2505,1831,1847,2409
1542,1750,2200,1670,2312,1237,1317,1172,3292,1301,1365,1301,2329,1622,931,1220,2120,3003,2168,996,1879,1558,1429,1028,2361,1365,1413,1253,1140,1220,1445,1686,2682,1044,2810,2907,1975,2312,1558,2200,2409,2489,1542,1638,1510,1879,1044,1429,1333,2120,2345,1493,2232,1927,819,2569,1895,1815,2361
1526,1734,2168,1638,2280,1285,1301,1172,3276,1285,1397,1301,2312,1590,931,1204,2072,3035,2136,996,1863,1542,1413,1012,2393,1349,1526,1269,1140,1220,1429,1670,2634,1108,2762,2987,1991,2264,1542,2248,2345,2489,1542,1638,1510,1879,1028,1397,1317,2136,2296,1461,2264,1911,819,2634,1959,1783,2296
1510,1718,2136,1606,2248,1333,1285,1172,3228,1269,1445,1301,2280,1574,931,1204,2039,3067,2104,1028,1847,1526,1397,1012,2441,1349,1638,1269,1140,1220,1413,1654,2585,1188,2714,3051,2023,2232,1542,2296,2296,2489,1542,1654,1510,1879,1012,1365,1301,2136,2264,1445,2280,1911,819,2698,2007,1734,2248
1477,1702,2104,1574,2216,1397,1269,1156,3196,1269,1510,1285,2264,1558,964,1188,2007,3099,2072,1060,1831,1510,1397,1012,2489,1349,1734,1285,1140,1204,1397,1622,2537,1301,2666,3115,2039,2200,1526,2329,2264,2489,1558,1670,1510,1895,996,1349,1285,2152,2216,1429,2296,1895,835,2746,2056,1702,2200
1461,1670,2088,1558,2184,1461,1253,1156,3148,1253,1590,1285,2232,1526,1028,1188,1975,3115,2039,1108,1815,1510,1381,1012,2537,1349,1847,1285,1140,1220,1365,1606,2505,1413,2618,3180,2088,2168,1526,2377,2216,2489,1558,1686,1493,1911,980,1333,1253,2168,2168,1397,2296,1879,851,2778,2104,1670,2168
1445,1654,2056,1526,2152,1542,1237,1156,3099,1253,1670,1269,2216,1510,1076,1188,1943,3115,2007,1172,1799,1510,1381,996,2569,1365,1943,1301,1140,1220,1365,1590,2457,1526,2569,3244,2120,2136,1510,2409,2184,2489,1574,1718,1493,1911,964,1333,1237,2152,2136,1381,2280,1863,867,2810,2136,1654,2120
1429,1638,2023,1493,2120,1622,1220,1172,3051,1237,1766,1269,2184,1477,1124,1172,1911,3099,1975,1237,1783,1510,1365,996,2585,1381,2023,1301,1140,1253,1349,1558,2409,1654,2521,3292,2152,2104,1510,2457,2152,2489,1590,1750,1493,1927,947,1317,1204,2120,2104,1365,2264,1847,883,2810,2184,1622,2088
1413,1622,1991,1461,2088,1718,1204,1188,3003,1220,1863,1253,2168,1461,1172,1172,1879,3067,1943,1317,1766,1526,1365,996,2602,1413,2104,1285,1140,1285,1333,1542,2377,1766,2473,3324,2200,2072,1493,2505,2120,2489,1606,1783,1493,1943,931,1333,1172,2104,2056,1349,2232,1831,931,2810,2216,1590,2039
1397,1606,1975,1429,2056,1799,1188,1220,2939,1220,1959,1253,2152,1445,1237,1172,1847,3035,1927,1413,1750,1558,1365,996,2618,1461,2184,1285,1124,1333,1317,1510,2329,1863,2425,3340,2232,2039,1477,2537,2104,2489,1638,1815,1493,1943,931,1333,1140,2104,2023,1333,2200,1831,980,2794,2232,1574,2007
1381,1590,1943,1397,2023,1879,1172,1269,2875,1204,2056,1253,2136,1429,1317,1172,1815,2987,1895,1510,1734,1590,1349,1012,2618,1510,2280,1285,1124,1397,1317,1493,2296,1975,2377,3340,2264,2023,1445,2585,2072,2489,1654,1847,1493,1959,915,1349,1108,2104,1991,1333,2152,1815,1044,2778,2248,1558,1975
1365,1558,1911,1381,1991,1975,1172,1317,2810,1204,2136,1253,2120,1413,1397,1156,1783,2939,1879,1606,1718,1638,1349,1028,2602,1574,2361,1269,1124,1461,1301,1477,2248,2088,2329,3340,2296,1991,1429,2618,2056,2489,1670,1879,1493,1975,915,1365,1076,2120,1959,1317,2104,1815,1140,2730,2248,1526,1943
1349,1542,1879,1349,1959,2056,1156,1397,2730,1188,2232,1253,2088,1381,1493,1156,1750,2891,1847,1718,1686,1702,1349,1076,2585,1654,2441,1253,1124,1542,1285,1445,2216,2200,2280,3308,2312,1959,1413,2634,2039,2489,1686,1895,1493,2007,915,1381,1044,2136,1927,1301,2056,1815,1253,2682,2248,1510,1911
1333,1526,1863,1333,1943,2120,1140,1493,2666,1188,2312,1269,2072,1381,1590,1156,1734,2826,1831,1847,1670,1766,1349,1124,2569,1734,2505,1237,1124,1622,1269,1429,2184,2329,2248,3276,2329,1943,1397,2666,2023,2489,1702,1927,1477,2039,915,1397,1012,2136,1895,1285,2007,1815,1365,2634,2232,1493,1879
1301,1510,1831,1317,1911,2200,1140,1606,2585,1172,2377,1285,2039,1365,1702,1140,1702,2778,1799,1959,1654,1815,1349,1188,2537,1831,2569,1220,1124,1702,1253,1413,2152,2425,2200,3244,2361,1911,1381,2698,1991,2489,1734,1943,1477,2072,915,1429,980,2152,1863,1269,1975,1831,1510,2569,2200,1461,1831
1285,1493,1815,1301,1879,2264,1124,1734,2521,1156,2441,1333,2023,1349,1815,1140,1670,2730,1783,2072,1638,1879,1365,1253,2505,1927,2634,1220,1124,1799,1237,1397,2120,2537,2152,3196,2377,1895,1397,2714,1975,2489,1734,1943,1461,2120,931,1445,947,2168,1831,1253,1927,1831,1686,2505,2168,1445,1766
1269,1477,1799,1285,1847,2312,1124,1863,2441,1156,2521,1381,1991,1333,1943,1140,1654,2666,1750,2168,1622,1943,1381,1333,2489,2023,2682,1204,1124,1895,1220,1381,2088,2634,2120,3164,2409,1879,1413,2730,1959,2505,1750,1943,1461,2184,931,1477,915,2168,1815,1253,1895,1847,1879,2441,2136,1413,1734
1253,1461,1766,1253,1831,2361,1108,1991,2377,1156,2585,1429,1975,1317,2056,1124,1622,2618,1734,2280,1606,2007,1413,1397,2457,2120,2714,1188,1124,2007,1220,1365,2056,2730,2088,3115,2425,1863,1461,2762,1943,2505,1766,1943,1445,2248,947,1493,883,2184,1783,1237,1863,1863,2072,2377,2088,1397,1702
1253,1445,1750,1237,1799,2409,1108,2120,2312,1156,2650,1510,1943,1301,2168,1124,1606,2569,1702,2377,1606,2072,1461,1461,2425,2216,2746,1172,1124,2104,1204,1333,2023,2826,2056,3067,2441,1847,1526,2762,1927,2505,1766,1927,1429,2312,964,1526,867,2184,1766,1237,1831,1895,2264,2329,2039,1365,1670
1237,1429,1734,1220,1783,2441,1092,2248,2232,1140,2714,1574,1927,1285,2280,1124,1590,2521,1686,2473,1590,2136,1510,1542,2409,2312,2762,1156,1124,2200,1204,1317,1991,2907,2023,3019,2457,1831,1590,2778,1911,2505,1783,1911,1429,2361,980,1558,835,2200,1734,1220,1815,1943,2441,2280,1991,1349,1654
1220,1429,1702,1204,1750,2489,1076,2377,2184,1140,2762,1654,1911,1285,2377,1124,1558,2473,1670,2553,1574,2200,1558,1622,2377,2393,2762,1140,1124,2280,1188,1301,1927,2987,1975,2971,2473,1815,1670,2794,1879,2505,1783,1879,1413,2441,996,1590,787,2200,1718,1220,1783,1991,2618,2232,1959,1333,1638
1204,1413,1686,1188,1734,2521,1076,2489,2120,1140,2810,1734,1895,1269,2473,1124,1542,2425,1638,2618,1574,2264,1622,1686,2361,2473,2746,1124,1124,2377,1188,1285,1847,3035,1943,2923,2473,1783,1783,2794,1879,2505,1783,1847,1413,2505,1012,1622,755,2216,1686,1220,1750,2039,2794,2184,1911,1301,1622
1204,1397,1670,1172,1702,2537,1060,2618,2072,1140,2842,1815,1863,1253,2553,1124,1510,2377,1622,2682,1558,2312,1702,1766,2329,2553,2730,1108,1124,2457,1172,1269,1799,3083,1911,2875,2489,1766,1895,2778,1863,2505,1766,1815,1413,2585,1044,1654,723,2216,1670,1220,1734,2072,2955,2136,1879,1285,1606
1188,1381,1638,1156,1686,2553,1060,2698,2023,1156,2875,1879,1847,1237,2634,1108,1493,2329,1606,2762,1542,2377,1783,1847,2312,2634,2698,1092,1124,2537,1156,1253,1766,3131,1879,2826,2489,1750,2023,2778,1847,2489,1766,1783,1413,2666,1060,1686,691,2216,1654,1220,1702,2072,3115,2104,1831,1269,1590
1188,1381,1622,1140,1670,2553,1044,2778,1959,1188,2891,1943,1831,1237,2698,1108,1477,2280,1590,2826,1526,2425,1863,1911,2280,2682,2666,1076,1140,2585,1156,1237,1734,3164,1847,2778,2489,1734,2152,2746,1831,2489,1750,1750,1413,2746,1092,1702,674,2216,1622,1204,1670,2039,3260,2072,1799,1253,1574
1188,1365,1606,1124,1638,2537,1044,2858,1911,1237,2891,2007,1815,1220,2778,1108,1461,2232,1574,2891,1510,2473,1943,1975,2264,2730,2634,1060,1156,2634,1140,1220,1702,3196,1815,2730,2489,1718,2232,2730,1815,2473,1734,1718,1413,2810,1124,1718,658,2216,1606,1204,1654,1959,3356,2039,1766,1237,1558
1172,1349,1574,1108,1622,2521,1060,2955,1879,1301,2875,2072,1799,1220,2842,1108,1445,2200,1558,2939,1493,2505,2023,2039,2232,2794,2585,1044,1188,2682,1124,1204,1670,3196,1799,2698,2473,1702,2329,2698,1815,2473,1702,1702,1413,2875,1172,1718,674,2232,1590,1188,1622,1863,3453,1991,1750,1237,1542
1188,1333,1558,1108,1606,2505,1060,3035,1831,1381,2858,2136,1783,1220,2907,1108,1413,2168,1542,2987,1477,2521,2104,2104,2216,2842,2537,1028,1220,2714,1108,1204,1654,3212,1766,2650,2473,1686,2425,2650,1799,2457,1686,1670,1413,2939,1220,1686,707,2232,1574,1188,1606,1750,3533,1959,1718,1220,1510
1188,1317,1542,1092,1574,2473,1076,3099,1799,1477,2842,2200,1766,1204,2971,1092,1397,2136,1542,3019,1477,2537,2168,2152,2184,2875,2489,1028,1269,2746,1092,1188,1622,3196,1734,2602,2473,1686,2537,2602,1783,2521,1670,1654,1413,2987,1285,1638,739,2216,1558,1172,1574,1654,3613,1911,1702,1204,1493
1220,1301,1526,1076,1558,2441,1092,3164,1766,1558,2810,2264,1750,1204,3003,1092,1381,2104,1542,3035,1461,2553,2248,2200,2152,2907,2457,1012,1333,2778,1076,1172,1590,3180,1702,2569,2457,1702,2634,2553,1783,2602,1654,1638,1413,3035,1365,1558,803,2216,1526,1172,1558,1574,3694,1879,1670,1188,1477
1269,1285,1510,1076,1526,2409,1124,3228,1734,1654,2762,2312,1734,1188,3035,1092,1381,2072,1542,3035,1461,2553,2312,2232,2136,2939,2409,996,1397,2794,1060,1156,1574,3148,1686,2521,2457,1718,2730,2505,1766,2634,1638,1622,1397,3083,1445,1461,883,2216,1510,1172,1542,1493,3742,1831,1654,1172,1445
1317,1269,1493,1060,1510,2377,1156,3276,1702,1750,2730,2361,1718,1188,3051,1092,1365,2023,1558,3035,1445,2537,2377,2264,2104,2955,2361,996,1493,2778,1060,1156,1542,3115,1654,2473,2457,1734,2810,2441,1750,2650,1606,1606,1397,3115,1558,1333,947,2216,1493,1172,1526,1429,3790,1783,1622,1156,1429
1397,1269,1477,1044,1493,2345,1204,3292,1686,1863,2682,2409,1702,1172,3067,1092,1349,1991,1590,3019,1445,2521,2441,2296,2072,2955,2329,980,1574,2762,1060,1140,1526,3067,1638,2441,2457,1750,2891,2377,1750,2650,1590,1606,1381,3131,1670,1204,1028,2216,1461,1188,1510,1365,3822,1750,1590,1140,1413
1477,1253,1461,1028,1461,2312,1269,3308,1670,1975,2650,2441,1702,1172,3051,1092,1333,1975,1622,2987,1429,2505,2473,2312,2056,2955,2280,980,1670,2746,1044,1124,1493,3035,1606,2393,2441,1766,2987,2329,1734,2650,1574,1590,1381,3164,1799,1044,1124,2216,1445,1204,1493,1301,3838,1718,1574,1140,1381
1558,1253,1445,1012,1445,2280,1349,3308,1638,2072,2618,2457,1686,1156,3035,1076,1317,1943,1670,2955,1413,2473,2521,2329,2023,2923,2248,964,1766,2714,1044,1124,1477,2987,1590,2361,2441,1783,3067,2264,1718,2650,1574,1574,1365,3164,1911,899,1204,2216,1413,1237,1477,1237,3822,1670,1542,1124,1365
1638,1237,1413,1012,1429,2248,1429,3292,1622,2184,2585,2473,1686,1156,3019,1060,1301,1911,1702,2923,1413,2441,2569,2329,2007,2907,2200,964,1863,2666,1028,1108,1461,2939,1558,2312,2457,1799,3164,2216,1702,2650,1558,1574,1365,3164,2039,739,1301,2216,1397,1285,1461,1172,3806,1654,1526,1108,1349
1734,1220,1397,996,1413,2216,1526,3276,1606,2280,2537,2473,1670,1140,2971,1044,1285,1879,1750,2875,1397,2409,2618,2329,1975,2875,2168,947,1943,2618,1028,1092,1445,2891,1542,2280,2457,1799,3244,2168,1702,2634,1574,1558,1365,3164,2152,610,1381,2216,1397,1333,1445,1092,3774,1622,1493,1092,1333
1831,1220,1381,980,1397,2184,1622,3228,1590,2377,2505,2473,1654,1140,2939,1028,1269,1847,1799,2842,1397,2361,2650,2329,1959,2842,2120,947,2039,2585,1028,1092,1429,2842,1510,2248,2457,1799,3308,2120,1686,2618,1590,1558,1349,3131,2264,498,1461,2200,1429,1397,1429,1012,3726,1590,1477,1092,1317
1927,1204,1365,964,1381,2152,1702,3196,1558,2457,2489,2457,1654,1124,2891,1028,1253,1831,1847,2794,1381,2329,2666,2312,1927,2810,2088,947,2120,2537,1012,1092,1413,2794,1493,2200,2457,1799,3372,2072,1670,2602,1606,1542,1349,3099,2377,418,1542,2200,1445,1477,1413,915,3677,1574,1461,1092,1301
2023,1204,1349,964,1365,2120,1783,3131,1542,2553,2457,2425,1654,1124,2858,1028,1253,1799,1911,2762,1381,2296,2682,2280,1911,2778,2056,947,2200,2505,1028,1092,1397,2762,1461,2168,2457,1783,3421,2039,1654,2585,1638,1526,1333,3051,2473,321,1622,2200,1429,1558,1397,835,3597,1558,1429,1076,1285
2120,1188,1333,964,1349,2088,1879,3083,1542,2634,2425,2409,1638,1124,2810,1028,1237,1783,1959,2730,1365,2280,2698,2264,1895,2746,2007,947,2264,2457,1044,1092,1381,2714,1445,2152,2457,1766,3453,1991,1622,2553,1670,1526,1333,2987,2553,241,1686,2184,1429,1654,1381,771,3517,1526,1429,1076,1285
